@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute raw-1 numeric
@attribute raw-2 numeric
@attribute raw-3 numeric
@attribute raw-4 numeric
@attribute raw-5 numeric
@attribute raw-6 numeric
@attribute raw-7 numeric
@attribute raw-8 numeric
@attribute raw-9 numeric
@attribute raw-10 numeric
@attribute raw-11 numeric
@attribute raw-12 numeric
@attribute raw-13 numeric
@attribute raw-14 numeric
@attribute raw-15 numeric
@attribute raw-16 numeric
@attribute raw-17 numeric
@attribute raw-18 numeric
@attribute raw-19 numeric
@attribute raw-20 numeric
@attribute raw-21 numeric
@attribute raw-22 numeric
@attribute raw-23 numeric
@attribute raw-24 numeric
@attribute raw-25 numeric
@attribute raw-26 numeric
@attribute raw-27 numeric
@attribute raw-28 numeric
@attribute raw-29 numeric
@attribute raw-30 numeric
@attribute raw-31 numeric
@attribute raw-32 numeric
@attribute raw-33 numeric
@attribute raw-34 numeric
@attribute raw-35 numeric
@attribute raw-36 numeric
@attribute raw-37 numeric
@attribute raw-38 numeric
@attribute raw-39 numeric
@attribute raw-40 numeric
@attribute raw-41 numeric
@attribute raw-42 numeric
@attribute raw-43 numeric
@attribute raw-44 numeric
@attribute raw-45 numeric
@attribute raw-46 numeric
@attribute raw-47 numeric
@attribute raw-48 numeric
@attribute raw-49 numeric
@attribute raw-50 numeric
@attribute raw-51 numeric
@attribute raw-52 numeric
@attribute raw-53 numeric
@attribute raw-54 numeric
@attribute raw-55 numeric
@attribute raw-56 numeric
@attribute raw-57 numeric
@attribute raw-58 numeric
@attribute raw-59 numeric
@attribute raw-60 numeric
@attribute raw-61 numeric
@attribute raw-62 numeric
@attribute raw-63 numeric
@attribute raw-64 numeric
@attribute raw-65 numeric
@attribute raw-66 numeric
@attribute raw-67 numeric
@attribute raw-68 numeric
@attribute raw-69 numeric
@attribute raw-70 numeric
@attribute raw-71 numeric
@attribute raw-72 numeric
@attribute raw-73 numeric
@attribute raw-74 numeric
@attribute raw-75 numeric
@attribute raw-76 numeric
@attribute raw-77 numeric
@attribute raw-78 numeric
@attribute raw-79 numeric
@attribute raw-80 numeric
@attribute raw-81 numeric
@attribute raw-82 numeric
@attribute raw-83 numeric
@attribute raw-84 numeric
@attribute raw-85 numeric
@attribute raw-86 numeric
@attribute raw-87 numeric
@attribute raw-88 numeric
@attribute raw-89 numeric
@attribute raw-90 numeric
@attribute raw-91 numeric
@attribute raw-92 numeric
@attribute raw-93 numeric
@attribute raw-94 numeric
@attribute raw-95 numeric
@attribute raw-96 numeric
@attribute raw-97 numeric
@attribute raw-98 numeric
@attribute raw-99 numeric
@attribute raw-100 numeric
@attribute raw-101 numeric
@attribute raw-102 numeric
@attribute raw-103 numeric
@attribute raw-104 numeric
@attribute raw-105 numeric
@attribute raw-106 numeric
@attribute raw-107 numeric
@attribute raw-108 numeric
@attribute raw-109 numeric
@attribute raw-110 numeric
@attribute raw-111 numeric
@attribute raw-112 numeric
@attribute raw-113 numeric
@attribute raw-114 numeric
@attribute raw-115 numeric
@attribute raw-116 numeric
@attribute raw-117 numeric
@attribute raw-118 numeric
@attribute raw-119 numeric
@attribute raw-120 numeric
@attribute raw-121 numeric
@attribute raw-122 numeric
@attribute raw-123 numeric
@attribute raw-124 numeric
@attribute raw-125 numeric
@attribute raw-126 numeric
@attribute raw-127 numeric
@attribute raw-128 numeric
@attribute raw-129 numeric
@attribute raw-130 numeric
@attribute raw-131 numeric
@attribute raw-132 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
331,'2018/09/03 13:47:41:523',13,226.142654,184.868439,228.698242,208.055786,233.058533,230.971222,238.587189,254.166428,246.557541,277.281372,258.973572,297.884064,275.183563,314.983948,294.338959,327.981415,316.353729,332.92511,339.6138,327.622986,359.783356,314.267944,376.671448,296.511261,389.746002,275.362061,398.287506,252.171036,403.599792,229.256241,407.247864,206.735428,409.053925,183.947922,238.429855,156.016434,248.66272,146.78862,262.62265,142.999161,277.381012,144.090271,291.617462,148.480621,336.954468,148.513397,351.069611,144.388657,365.743835,143.434311,379.68454,147.16008,390.145203,156.148117,315.015472,178.693069,314.852325,195.651352,314.666351,212.532593,314.49707,229.223679,301.247955,240.908783,308.167023,243.181244,315.390289,244.238449,322.625732,243.155182,329.473389,240.846649,256.399658,179.876907,266.168915,171.82579,279.115509,172.166779,288.801056,180.721405,278.093933,185.038193,266.489807,185.261185,340.266479,180.961288,349.656036,172.471527,362.59317,171.983994,372.480621,180.04808,362.454956,185.435577,350.900513,185.218704,287.783173,273.640442,295.706543,267.842499,304.788391,263.039978,314.872894,265.255249,325.39563,263.082916,334.863678,267.917175,343.25354,273.851746,335.353455,280.40506,325.623016,284.335632,315.233246,285.953217,305.174133,284.225769,295.687714,280.173889,305.830322,272.128021,315.085175,273.39386,324.88504,272.214417,324.746368,271.490875,315.255798,272.402649,306.223633,271.381378,1
332,'2018/09/03 13:47:41:594',13,225.647919,185.527222,228.204956,208.585876,232.574448,231.378784,238.152405,254.483627,246.242538,277.55127,258.74176,298.108856,274.953827,315.195129,294.08786,328.199371,316.056366,333.197021,339.217987,327.87381,359.319916,314.547699,376.176544,296.830597,389.243073,275.700775,397.82486,252.512619,403.234222,229.624374,406.995239,207.156067,408.897461,184.420441,238.137192,156.324844,248.373993,146.888016,262.4729,142.99794,277.401703,144.097275,291.799194,148.540222,336.948853,148.680237,351.238739,144.493866,366.089874,143.532959,380.169312,147.368195,390.62439,156.581177,315.0177,178.948944,314.832916,195.854584,314.62851,212.686691,314.439209,229.328354,301.128601,241.074112,308.021942,243.33255,315.210205,244.396835,322.428955,243.339188,329.27829,241.071884,256.179565,180.187729,266.069427,171.82341,279.284515,172.235275,289.067566,181.15419,278.200684,185.64537,266.39563,185.858749,340.253326,181.444824,349.781006,172.613251,362.98941,172.125656,372.960114,180.549866,362.787384,186.172318,351.033813,185.933502,287.440613,273.92746,295.382294,268.079132,304.502228,263.223816,314.644257,265.467133,325.207947,263.318817,334.660858,268.263702,343.008331,274.282684,335.023132,280.712738,325.266235,284.533936,314.910858,286.124298,304.872101,284.383392,295.366211,280.394989,305.533173,272.323517,314.809753,273.628571,324.601776,272.457672,324.424164,271.687836,314.955933,272.564514,305.91925,271.534424,1
333,'2018/09/03 13:47:41:617',13,225.205338,186.685822,227.861557,209.637512,232.324036,232.30986,237.96376,255.24231,246.070175,278.063873,258.537323,298.406738,274.703003,315.318756,293.765442,328.20105,315.665009,333.083893,338.763977,327.93042,358.821503,314.771179,375.643921,297.24292,388.67981,276.317871,397.191467,253.281433,402.542236,230.439514,406.288483,207.960831,408.191345,185.22023,237.552048,156.610535,247.819016,147.194656,261.881256,143.283249,276.764984,144.31926,291.120605,148.697586,336.134766,148.614563,350.392426,144.402786,365.220703,143.426804,379.304504,147.231689,389.841034,156.397491,314.379364,179.236221,314.292175,196.143951,314.184235,212.973557,314.087952,229.616501,300.844971,241.286667,307.708008,243.508499,314.865692,244.530624,322.033722,243.462372,328.823517,241.184296,255.720932,180.521973,265.470612,172.355545,278.446625,172.674728,288.133636,181.288879,277.435669,185.643311,265.826965,185.89888,339.67276,181.402985,349.069031,172.793365,362.046844,172.293121,371.948639,180.424973,361.913818,185.848648,350.339569,185.650177,287.239319,274.209045,295.149323,268.263977,304.238464,263.330231,314.365631,265.482574,324.885406,263.358765,334.325256,268.312805,342.664551,274.352051,334.686981,280.723541,324.958588,284.489349,314.64801,286.05072,304.665466,284.388611,295.188232,280.525391,305.310028,272.485413,314.542206,273.672882,324.251801,272.563293,324.046906,271.729523,314.668427,272.541443,305.705658,271.62619,1
334,'2018/09/03 13:47:41:641',13,225.302124,185.387909,227.805359,208.485214,232.12738,231.323227,237.621628,254.420975,245.556885,277.436493,257.905792,298.004303,274.056458,315.113342,293.198334,328.104828,315.222137,333.072876,338.397552,327.965881,358.533691,314.833954,375.384705,297.26651,388.388611,276.272034,396.87265,253.188873,402.228729,230.309525,405.992676,207.784485,407.912567,185.004364,237.454407,156.401459,247.755417,146.970688,261.874359,143.105728,276.798798,144.206863,291.175537,148.652817,335.893738,148.834229,350.20694,144.621597,365.096283,143.650818,379.241333,147.454529,389.803375,156.664917,314.248535,178.548157,314.088684,195.595261,313.910156,212.565338,313.749573,229.352493,300.545654,241.162811,307.384155,243.353134,314.509186,244.36203,321.678986,243.349533,328.484955,241.141251,255.357773,180.35936,265.369324,171.97937,278.692352,172.399246,288.578552,181.33783,277.589874,185.763519,265.682495,185.98999,339.135773,181.644745,348.781158,172.781509,362.106171,172.278641,372.221588,180.685745,361.930145,186.292175,350.057098,186.048065,287.005951,274.151581,294.89444,268.234741,303.944794,263.319397,314.015778,265.510712,324.50647,263.406128,333.89978,268.398193,342.215332,274.465088,334.258392,280.778229,324.563812,284.507782,314.287292,286.031097,304.336761,284.358521,294.907623,280.472321,304.891327,272.469604,314.185913,273.68045,323.990448,272.589874,323.805878,271.653198,314.332794,272.420929,305.294952,271.503021,1
335,'2018/09/03 13:47:41:686',13,224.831329,184.867493,227.353989,207.965607,231.712616,230.778046,237.281708,253.884766,245.312775,276.972351,257.751709,297.654602,274.010132,314.84317,293.245087,327.919464,315.356903,332.943909,338.456177,327.831299,358.535217,314.688629,375.364746,297.147217,388.371674,276.159088,396.826477,253.02507,402.151886,230.111099,405.908691,207.573792,407.835999,184.770081,237.38913,156.266449,247.602707,146.93602,261.581085,143.077103,276.37088,144.143478,290.634857,148.5056,336.232574,148.459122,350.448456,144.292496,365.214355,143.332977,379.220917,147.161499,389.647186,156.331406,314.125732,178.978317,314.059723,195.796158,313.979187,212.533478,313.916473,229.079788,300.666016,241.002319,307.50354,243.218918,314.629852,244.248474,321.785919,243.163681,328.55899,240.886887,255.424011,180.160416,265.105103,172.088638,277.974976,172.376968,287.58786,180.833115,276.985016,185.226852,265.454895,185.483429,339.600128,180.994278,348.968933,172.552597,361.841919,172.097534,371.672363,180.114563,361.699371,185.494019,350.187836,185.279007,287.574524,274.233307,295.346375,268.27713,304.286072,263.275543,314.299164,265.449432,324.673035,263.277069,333.95282,268.26474,342.148529,274.285065,334.310974,280.568512,324.750824,284.296051,314.617249,285.869202,304.785797,284.224182,295.444,280.430695,305.534729,272.480865,314.490509,273.654327,323.884033,272.52005,323.669464,271.463959,314.626068,272.270508,305.971283,271.386963,1
336,'2018/09/03 13:47:41:756',13,224.828415,185.719971,227.345306,208.845139,231.672501,231.705627,237.189835,254.768677,245.171936,277.666656,257.552155,298.101776,273.703766,315.123505,292.833771,328.073547,314.869476,332.998657,338.016846,328.020203,358.07901,314.931091,374.840576,297.42337,387.794067,276.558655,396.30661,253.627563,401.744263,230.833481,405.601349,208.338669,407.594727,185.583313,237.46965,156.024246,247.856247,146.613007,261.997803,142.752609,276.925323,143.847931,291.305359,148.275848,335.957642,148.641052,350.259247,144.4991,365.122375,143.591476,379.232727,147.44809,389.767731,156.691254,314.394043,178.191193,314.25238,195.201904,314.090057,212.130524,313.943054,228.878372,300.622711,240.782593,307.47406,243.004837,314.626709,244.0242,321.783112,243.021393,328.555267,240.802872,255.565262,179.784164,265.509766,171.648285,278.625336,172.011749,288.407715,180.668976,277.536255,184.928802,265.787598,185.15564,339.294098,181.109406,348.878815,172.585632,361.96698,172.177689,371.941376,180.366486,361.753998,185.674667,350.062439,185.377518,287.285706,274.064667,295.093262,268.053894,304.08075,263.058289,314.097412,265.224762,324.479401,263.175293,333.717896,268.271515,341.818451,274.462494,333.965607,280.617371,324.420563,284.229309,314.295044,285.692871,304.455414,284.046265,295.133545,280.247833,305.129822,272.292877,314.23996,273.421783,323.779022,272.448669,323.553436,271.389191,314.373993,272.084503,305.566254,271.206848,1
337,'2018/09/03 13:47:44:728',14,308.94278,205.393143,311.761353,229.310074,316.453674,252.966156,322.662476,276.386749,331.918243,298.611389,345.710693,317.669678,362.801605,333.481079,382.515839,345.55838,405.053894,349.577209,429.126923,344.704803,449.792938,331.452515,467.240997,314.032166,481.158905,293.602203,490.857178,271.077057,497.153137,248.055283,501.442841,224.977097,503.636139,201.639587,324.996063,163.754471,336.319672,154.143799,351.215271,150.374725,366.760406,151.609009,381.689209,156.316467,429.037445,157.173141,443.834351,153.238953,459.182648,152.62088,473.72702,156.916992,484.606354,166.802246,405.605103,188.876282,405.19162,206.342865,404.737732,223.719666,404.287506,240.960144,389.810516,253.89621,397.206757,256.393707,404.997284,257.502777,412.678619,256.604156,419.901306,254.301086,344.294373,189.420883,354.713562,181.202789,368.203735,181.674057,378.160217,190.887985,366.858643,195.027039,354.761658,195.084641,432.100708,191.884399,441.930847,183.177155,455.273834,182.956055,465.326752,191.582275,454.874512,196.782654,443.003632,196.346664,375.185425,288.316162,383.78302,282.177826,393.436096,277.18576,403.884338,279.338531,414.760376,277.544098,424.488403,282.861786,433.071228,289.439423,424.817749,295.872528,414.713867,299.564331,403.930115,300.837799,393.342194,299.191895,383.369904,295.077087,394.663696,286.910736,403.952942,287.964386,413.716553,287.363586,413.519073,286.31897,404.097687,286.734985,395.034119,285.904327,1
338,'2018/09/03 13:47:44:756',14,308.071747,202.568604,310.756012,226.444962,315.35144,250.048798,321.563934,273.662415,330.933899,296.508362,344.846802,316.307037,362.08667,332.728302,381.962891,345.346985,404.637207,349.947052,428.66626,344.843231,449.486664,331.525452,467.132263,313.905518,481.162506,292.992462,490.834351,269.86026,497.114136,246.526337,501.422424,223.354111,503.663391,199.895035,324.752167,163.616287,336.040344,154.160797,350.937836,150.487488,366.510498,151.824951,381.456635,156.650375,428.738464,157.540894,443.65274,153.465729,459.107056,152.758224,473.720276,157.00412,484.602997,166.793991,405.283142,189.524704,404.930145,207.100586,404.54245,224.596909,404.157654,241.927826,389.479126,254.057892,396.891724,256.589844,404.672363,257.774109,412.388367,256.798004,419.676971,254.453903,343.39566,189.829483,353.931854,181.66655,367.53717,182.146729,377.638855,191.174606,366.227539,195.326431,354.008331,195.413361,432.032532,192.22113,442.084808,183.658722,455.579895,183.486588,465.779388,192.054031,455.137421,197.17128,443.100922,196.706482,374.76416,288.338715,383.31488,282.240631,393.036438,277.323212,403.609161,279.653351,414.576874,277.706787,424.354706,282.983063,432.899353,289.509003,424.495514,295.873016,414.321014,299.508331,403.575104,300.877716,393.027771,299.114227,383.035004,295.032227,394.018677,286.921722,403.629211,288.224976,413.673096,287.368073,413.438782,286.317322,403.751526,286.919861,394.400269,285.889709,1
339,'2018/09/03 13:47:44:776',14,307.886688,202.875778,310.567963,226.665649,315.192963,250.180038,321.457825,273.623291,330.832184,296.236481,344.605042,315.933289,361.653198,332.428772,381.403198,345.170563,404.082245,349.768524,428.126221,344.837158,448.879089,331.578522,466.401031,314.005859,480.317566,293.232178,489.903503,270.20575,496.155975,246.836166,500.486145,223.530746,502.746521,199.951035,324.433899,163.73436,335.674774,154.288437,350.496735,150.6297,365.976318,151.932816,380.823639,156.684784,427.949799,157.435257,442.917542,153.373337,458.422516,152.684784,473.082947,157.015793,483.970764,166.950211,404.565796,188.937943,404.284607,206.522217,403.972107,224.022171,403.664642,241.364899,389.099426,254.139084,396.440857,256.62146,404.15451,257.739746,411.830414,256.787537,419.060913,254.45578,343.109222,189.698837,353.629211,181.392151,367.28363,181.885452,377.372528,191.056946,365.96286,195.299042,353.719604,195.400009,430.907837,192.007263,440.946808,183.238586,454.509064,183.020752,464.753357,191.6633,454.11441,196.943146,442.027802,196.51387,374.8125,288.326111,383.257782,282.259338,392.816193,277.334106,403.219025,279.603668,414.026855,277.672363,423.683075,282.908905,432.190674,289.321075,423.937531,295.774933,413.888123,299.523193,403.193146,300.9039,392.729858,299.175842,382.892609,295.041809,393.873444,286.944977,403.243805,288.142487,413.042023,287.341614,412.815155,286.243866,403.345123,286.82135,394.223114,285.857025,1
340,'2018/09/03 13:47:44:843',14,306.775299,202.534119,309.465759,226.327133,314.085419,249.843964,320.394958,273.362122,329.935394,296.128906,343.933105,315.922607,361.159058,332.459015,381.017426,345.266327,403.750793,349.965515,427.759888,344.90799,448.549957,331.604126,466.1604,313.989838,480.139526,293.079193,489.733459,269.879242,495.992981,246.431091,500.330231,223.124847,502.609283,199.533447,323.784607,163.697586,335.08548,154.212265,350.011108,150.538193,365.609589,151.872543,380.573242,156.685471,427.877747,157.486023,442.888824,153.384613,458.432648,152.67247,473.119751,156.979584,484.016327,166.88298,404.346405,189.308731,404.070404,206.961487,403.763794,224.532959,403.456268,241.937851,388.75824,254.141586,396.105927,256.645966,403.817993,257.807434,411.479767,256.839661,418.716492,254.509567,342.581207,189.681107,353.123474,181.383698,366.793549,181.893921,376.879425,191.070343,365.457947,195.301254,353.203552,195.388428,430.96817,192.067169,441.037262,183.311951,454.615936,183.123383,464.843689,191.804749,454.179565,197.051376,442.087646,196.611801,373.806976,288.214966,382.441528,282.22403,392.189392,277.391602,402.758453,279.74585,413.692993,277.781555,423.474518,282.985504,432.087952,289.374054,423.689514,295.914337,413.474365,299.690399,402.650604,301.098877,392.021912,299.29306,382.01474,295.069885,393.14209,286.954712,402.739014,288.284393,412.717163,287.400665,412.486755,286.407806,402.824493,287.039001,393.465485,285.971222,1
