@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute raw-1 numeric
@attribute raw-2 numeric
@attribute raw-3 numeric
@attribute raw-4 numeric
@attribute raw-5 numeric
@attribute raw-6 numeric
@attribute raw-7 numeric
@attribute raw-8 numeric
@attribute raw-9 numeric
@attribute raw-10 numeric
@attribute raw-11 numeric
@attribute raw-12 numeric
@attribute raw-13 numeric
@attribute raw-14 numeric
@attribute raw-15 numeric
@attribute raw-16 numeric
@attribute raw-17 numeric
@attribute raw-18 numeric
@attribute raw-19 numeric
@attribute raw-20 numeric
@attribute raw-21 numeric
@attribute raw-22 numeric
@attribute raw-23 numeric
@attribute raw-24 numeric
@attribute raw-25 numeric
@attribute raw-26 numeric
@attribute raw-27 numeric
@attribute raw-28 numeric
@attribute raw-29 numeric
@attribute raw-30 numeric
@attribute raw-31 numeric
@attribute raw-32 numeric
@attribute raw-33 numeric
@attribute raw-34 numeric
@attribute raw-35 numeric
@attribute raw-36 numeric
@attribute raw-37 numeric
@attribute raw-38 numeric
@attribute raw-39 numeric
@attribute raw-40 numeric
@attribute raw-41 numeric
@attribute raw-42 numeric
@attribute raw-43 numeric
@attribute raw-44 numeric
@attribute raw-45 numeric
@attribute raw-46 numeric
@attribute raw-47 numeric
@attribute raw-48 numeric
@attribute raw-49 numeric
@attribute raw-50 numeric
@attribute raw-51 numeric
@attribute raw-52 numeric
@attribute raw-53 numeric
@attribute raw-54 numeric
@attribute raw-55 numeric
@attribute raw-56 numeric
@attribute raw-57 numeric
@attribute raw-58 numeric
@attribute raw-59 numeric
@attribute raw-60 numeric
@attribute raw-61 numeric
@attribute raw-62 numeric
@attribute raw-63 numeric
@attribute raw-64 numeric
@attribute raw-65 numeric
@attribute raw-66 numeric
@attribute raw-67 numeric
@attribute raw-68 numeric
@attribute raw-69 numeric
@attribute raw-70 numeric
@attribute raw-71 numeric
@attribute raw-72 numeric
@attribute raw-73 numeric
@attribute raw-74 numeric
@attribute raw-75 numeric
@attribute raw-76 numeric
@attribute raw-77 numeric
@attribute raw-78 numeric
@attribute raw-79 numeric
@attribute raw-80 numeric
@attribute raw-81 numeric
@attribute raw-82 numeric
@attribute raw-83 numeric
@attribute raw-84 numeric
@attribute raw-85 numeric
@attribute raw-86 numeric
@attribute raw-87 numeric
@attribute raw-88 numeric
@attribute raw-89 numeric
@attribute raw-90 numeric
@attribute raw-91 numeric
@attribute raw-92 numeric
@attribute raw-93 numeric
@attribute raw-94 numeric
@attribute raw-95 numeric
@attribute raw-96 numeric
@attribute raw-97 numeric
@attribute raw-98 numeric
@attribute raw-99 numeric
@attribute raw-100 numeric
@attribute raw-101 numeric
@attribute raw-102 numeric
@attribute raw-103 numeric
@attribute raw-104 numeric
@attribute raw-105 numeric
@attribute raw-106 numeric
@attribute raw-107 numeric
@attribute raw-108 numeric
@attribute raw-109 numeric
@attribute raw-110 numeric
@attribute raw-111 numeric
@attribute raw-112 numeric
@attribute raw-113 numeric
@attribute raw-114 numeric
@attribute raw-115 numeric
@attribute raw-116 numeric
@attribute raw-117 numeric
@attribute raw-118 numeric
@attribute raw-119 numeric
@attribute raw-120 numeric
@attribute raw-121 numeric
@attribute raw-122 numeric
@attribute raw-123 numeric
@attribute raw-124 numeric
@attribute raw-125 numeric
@attribute raw-126 numeric
@attribute raw-127 numeric
@attribute raw-128 numeric
@attribute raw-129 numeric
@attribute raw-130 numeric
@attribute raw-131 numeric
@attribute raw-132 numeric
@attribute outputs-1 {0,1,2,3}

@data
2356,'2018/08/14 13:11:13:528',21,288.880859,179.808502,291.008423,200.225525,294.480927,220.365662,299.427704,240.604248,307.366791,260.733154,319.136414,278.266113,333.873016,292.795227,350.903046,304.085724,370.419739,308.604431,388.802002,303.630554,403.982697,291.106842,416.371216,275.373688,426.080841,257.576691,433.298096,238.872009,438.735718,220.831726,442.751038,203.126816,444.664093,184.966034,308.626862,160.693237,318.873047,152.595413,332.066345,149.089905,345.867126,150.356262,359.137329,154.620026,394.924591,156.238144,405.675018,152.971252,416.842926,152.205597,427.388489,154.810501,435.278015,161.286575,377.591553,179.217148,377.841553,194.270081,378.034088,209.213669,378.072449,223.934235,364.205933,233.339905,370.194214,235.640671,376.577545,236.784317,381.915527,236.022095,386.843048,234.101837,326.971008,178.980347,335.111572,174.400253,344.743774,174.378113,352.289337,179.530701,343.840973,181.921646,334.948761,181.953857,395.528595,181.1604,403.092346,176.705856,412.392212,176.774551,419.703094,181.921707,411.968475,184.617554,403.475037,183.995453,351.34967,260.933197,358.464325,256.811554,366.096832,252.816177,374.497803,255.080338,381.658905,253.31105,387.407166,257.786896,391.654144,262.856934,386.720001,267.873322,380.35321,271.134918,373.093842,272.475372,364.920959,270.397247,357.641663,266.400909,367.077362,260.405426,374.016846,261.486389,379.32608,260.956665,378.933838,260.052307,373.8125,261.031891,367.436798,259.567322,1
2357,'2018/08/14 13:11:13:594',21,287.116119,180.824402,289.063446,200.381119,292.38269,219.61351,297.042908,239.153137,304.30069,258.983795,314.912415,276.780426,328.3284,291.986053,344.12326,304.22168,362.709595,309.75708,381.670166,305.44577,397.695801,293.388275,411.161224,277.995026,422.113434,260.3013,430.329254,241.231827,436.400757,222.70343,440.947815,204.52681,443.500427,185.87442,304.509216,160.822479,314.417206,152.94841,327.347809,149.670425,340.882965,151.073151,353.876709,155.407364,389.632385,157.041016,401.19632,153.664642,413.152222,152.975677,424.385284,155.982285,432.73114,163.012436,372.094727,180.671051,372.038422,195.81311,371.937988,210.845383,371.712158,225.626175,358.332916,233.924026,364.227844,236.416855,370.540741,237.710464,376.140564,236.919464,381.353058,234.936707,321.975922,179.324661,330.068207,174.697235,339.711884,174.786194,347.286224,179.941879,338.84198,182.223282,329.9729,182.213867,391.405396,181.763931,399.129883,177.30658,408.579559,177.535736,416.034515,182.748764,408.132568,185.247726,399.503326,184.543854,345.640167,261.398682,352.487366,257.190979,360.125793,253.355484,368.492035,255.815353,376.17099,254.103714,382.328979,258.607147,386.969238,263.635345,381.476501,268.937378,374.581299,272.355072,366.767029,273.716858,358.686371,271.369598,351.566406,267.125885,360.84021,260.840851,367.948578,262.137421,373.967407,261.603851,373.48761,261.271118,367.650909,262.358582,361.104034,260.584229,1
2358,'2018/08/14 13:11:13:695',21,285.462494,181.355911,287.439545,200.724228,290.856506,219.757126,295.49881,239.146301,302.524353,258.973938,312.75415,276.906738,325.735107,292.397339,341.171539,304.944275,359.528412,310.62674,378.737274,306.383911,395.034637,294.323425,408.789642,278.886749,420.048279,261.110657,428.503601,241.863464,434.704468,223.191391,439.387115,204.884628,442.126282,186.093613,301.201111,161.517044,310.998871,153.804764,323.834259,150.653244,337.276337,152.081299,350.199188,156.371719,386.23941,157.961472,398.116913,154.601624,410.374847,153.919998,421.904541,156.978119,430.53772,164.080566,368.462097,180.87291,368.211609,196.405685,367.930267,211.829514,367.555328,226.988922,354.439697,235.01445,360.333069,237.591766,366.667725,238.919922,372.493713,238.115936,377.917358,236.061646,318.682892,179.748505,326.900299,175.00267,336.71994,175.177826,344.418182,180.500916,335.810333,182.709076,326.800781,182.706375,388.219635,182.287476,396.10965,177.644012,405.790863,177.896713,413.438324,183.257217,405.345123,185.765503,396.521851,185.041183,342.067596,262.27652,348.753601,258.021362,356.377747,254.239365,364.728394,256.777527,372.705841,255.037186,379.150879,259.532867,384.09671,264.568695,378.30957,269.866913,371.177032,273.271973,363.138733,274.625183,355.079102,272.269348,347.961426,268.024628,357.118256,261.737762,364.243713,263.10025,370.645447,262.528961,370.154327,262.13028,364.003571,263.216187,357.423584,261.410217,1
2359,'2018/08/14 13:11:13:762',21,284.548889,180.479141,286.433075,199.865662,289.819092,218.898087,294.395447,238.34964,301.261475,258.383209,311.29718,276.644409,324.126495,292.491577,339.509003,305.321625,357.901825,311.154205,377.126038,306.876343,393.468719,294.77301,407.322723,279.344147,418.741699,261.572235,427.367767,242.283813,433.658417,223.5979,438.452728,205.30899,441.362946,186.518723,299.499878,162.014206,309.250427,154.431213,322.052673,151.450302,335.433777,153.008148,348.284698,157.386032,384.396271,158.948624,396.434998,155.516129,408.860992,154.753296,420.569855,157.780991,429.331329,164.936371,366.340179,181.893387,365.946014,197.33519,365.536041,212.668121,365.062469,227.727722,352.156128,235.78392,358.005066,238.415176,364.301392,239.779037,370.243927,238.949661,375.78421,236.850311,316.470001,180.156387,324.78717,175.2771,334.774139,175.524765,342.536926,181.047012,333.807983,183.289063,324.662262,183.258835,386.787994,182.848007,394.79776,178.006851,404.681671,178.267136,412.46463,183.776733,404.233704,186.400085,395.232269,185.682938,340.31311,262.949829,346.886261,258.836639,354.404327,255.177185,362.619263,257.783112,370.629639,255.946213,377.16449,260.292114,382.31778,265.139923,376.485168,270.513672,369.306702,273.988647,361.222015,275.405029,353.215332,273.041626,346.130981,268.771393,355.076141,262.553406,362.202576,264.007477,368.828094,263.298828,368.385437,262.817688,362.028656,263.967682,355.412567,262.132324,1
2360,'2018/08/14 13:11:13:861',21,283.552216,180.490433,285.435699,199.753677,288.877686,218.643845,293.49295,238.028427,300.307953,258.12915,310.238495,276.491119,322.923279,292.468689,338.154114,305.453247,356.414734,311.397034,375.669098,307.04892,392.095642,294.930115,406.092651,279.52124,417.700073,261.737366,426.491028,242.358643,432.858826,223.662506,437.708069,205.419861,440.706299,186.661224,297.734863,162.49762,307.401031,155.041824,320.126343,152.163834,333.431305,153.783417,346.213959,158.193726,382.494873,159.731735,394.718048,156.284454,407.318878,155.511627,419.179321,158.606567,428.04126,165.843018,364.227875,182.673584,363.725677,198.192444,363.215149,213.600891,362.664734,228.719681,350.1698,236.454803,355.914215,239.103302,362.104309,240.49028,368.068665,239.629044,373.628632,237.503723,314.670959,180.613556,322.92627,175.707748,332.881775,175.973114,340.598175,181.517242,331.912323,183.789307,322.80722,183.755325,385.282593,183.332718,393.263794,178.461563,403.143066,178.759064,410.906586,184.29747,402.6875,186.929031,393.697479,186.214706,338.778961,263.596588,345.096466,259.397034,352.4711,255.663773,360.592102,258.310181,368.693909,256.420197,375.283691,260.825165,380.486389,265.708862,374.61261,271.043488,367.429657,274.510742,359.362366,275.976074,351.48761,273.60968,344.499207,269.378632,353.466492,263.146759,360.23291,264.626892,366.73056,263.846283,366.279388,263.192413,360.122437,264.364655,353.87677,262.548981,1
2361,'2018/08/14 13:11:13:911',21,282.519379,179.827255,284.375427,199.036606,287.839844,217.865601,292.440582,237.280258,299.12204,257.586273,308.87204,276.179871,321.345917,292.4086,336.380951,305.645355,354.487701,311.798981,373.853577,307.296448,390.41983,295.033875,404.560181,279.456604,416.35498,261.488831,425.352081,241.932922,431.821442,223.224991,436.713715,205.055679,439.767456,186.351334,295.822205,162.551575,305.371002,155.289093,317.993286,152.58313,331.184387,154.335556,343.853149,158.845688,380.581177,160.527878,392.879822,157.07486,405.552063,156.277725,417.470367,159.366287,426.35788,166.572632,362.018402,183.483337,361.369507,199.074402,360.715668,214.552612,360.044128,229.720383,347.863068,237.090393,353.565979,239.757004,359.706512,241.181534,365.717987,240.312561,371.333679,238.195282,312.518921,180.926804,320.854095,175.957321,330.936249,176.294708,338.705902,181.989761,329.916046,184.301865,320.706085,184.224167,383.310394,183.954529,391.373749,178.990753,401.394012,179.321091,409.229706,184.990662,400.908783,187.69101,391.803253,186.95282,336.932953,264.022888,343.005859,259.863068,350.228729,256.160645,358.216187,258.917694,366.376495,256.956696,372.980347,261.365265,378.190186,266.223694,372.310669,271.528442,365.147369,274.994019,357.112366,276.514069,349.387482,274.07663,342.530365,269.8172,351.316589,263.625793,357.908417,265.220978,364.464874,264.345245,364.026855,263.600311,357.864563,264.834106,351.787079,262.935669,1
2362,'2018/08/14 13:11:14:012',21,281.62326,180.017303,283.554169,199.198547,287.114319,217.989792,291.744965,237.405426,298.331909,257.798309,307.955688,276.456024,320.302155,292.720947,335.202942,305.984955,353.15863,312.161926,372.611328,307.446899,389.228149,294.991852,403.410889,279.240417,415.292114,261.129761,424.439178,241.502975,430.96756,222.858841,435.857452,204.805801,438.903564,186.199844,294.164764,163.338089,303.742401,156.126907,316.424927,153.491959,329.678345,155.333069,342.405121,159.954987,378.500305,161.60791,390.927795,158.109833,403.74292,157.280289,415.795807,160.384399,424.7901,167.621765,360.233704,184.173477,359.478943,199.867218,358.718719,215.453018,357.954498,230.723816,346.107544,237.962952,351.766449,240.667313,357.871552,242.112518,363.887787,241.225067,369.496216,239.07283,310.750885,181.716568,319.146881,176.744904,329.312988,177.102585,337.166199,182.832886,328.289215,185.133499,319.003265,185.04985,381.579529,184.822281,389.696198,179.851212,399.796661,180.180603,407.695862,185.886505,399.304932,188.587234,390.131714,187.832001,335.455994,264.645081,341.38501,260.550446,348.506287,256.881256,356.414215,259.67572,364.630585,257.664246,371.274963,262.027557,376.530975,266.824463,370.648438,272.094879,363.50708,275.581207,355.469696,277.156281,347.815857,274.692017,341.020355,270.424622,349.702118,264.259369,356.178131,265.912323,362.794342,264.961639,362.37851,264.202484,356.187836,265.520477,350.208069,263.56427,1
2363,'2018/08/14 13:11:14:080',21,281.394073,179.876465,283.224915,198.968033,286.710541,217.662354,291.303772,236.986572,297.904816,257.319489,307.49707,275.941742,319.736267,292.292572,334.568604,305.653473,352.513611,311.885071,371.8909,307.330353,388.472076,294.988983,402.634277,279.338837,414.533386,261.369995,423.711304,241.821594,430.309906,223.221268,435.287048,205.195541,438.401672,186.595978,294.141968,163.53479,303.471649,156.374756,315.918182,153.687363,328.956299,155.420197,341.506989,159.839508,379.45816,161.651047,391.670197,158.3414,404.226868,157.608353,416.007751,160.703583,424.754547,167.815964,360.17334,184.508041,359.398163,200.20668,358.623047,215.782974,357.841003,231.01741,345.620514,238.265335,351.374329,240.973663,357.572083,242.432053,363.691925,241.585709,369.424072,239.473572,310.582916,181.499893,319.08728,176.400146,329.394836,176.826767,337.265564,182.789902,328.287567,185.128174,318.884949,185.003586,381.463318,184.841217,389.672119,179.656631,399.933167,179.999741,407.905182,185.89122,399.42395,188.721054,390.119812,187.958267,335.356323,264.719604,341.185425,260.617401,348.229248,256.983093,356.011871,259.866943,364.079285,257.833771,370.561859,262.223999,375.621765,267.057526,369.830109,272.262726,362.794189,275.68515,354.914246,277.205109,347.419525,274.726044,340.762268,270.465118,349.306946,264.428589,355.709869,266.132599,362.198181,265.186829,361.740021,264.197754,355.699036,265.438324,349.828979,263.504456,1
2364,'2018/08/14 13:11:14:147',21,281.821899,180.176437,283.591766,199.082916,286.944885,217.650742,291.504089,236.808395,298.307343,256.969635,308.09259,275.423096,320.434509,291.699951,335.351166,305.040222,353.371582,311.298828,372.564972,306.846191,388.934326,294.535187,402.929016,278.95813,414.654785,261.084564,423.633148,241.554749,430.193024,222.884888,435.192963,204.732239,438.310425,186.081253,295.901306,163.007935,305.291595,155.713837,317.846466,152.969589,330.990234,154.653915,343.63327,159.011246,381.018707,160.776367,393.17276,157.324951,405.692047,156.456375,417.476532,159.369614,426.201599,166.417389,362.082184,183.386414,361.454193,199.132492,360.827484,214.772247,360.163757,230.084702,347.588501,237.390533,353.320251,240.000778,359.478271,241.405014,365.481873,240.60759,371.124969,238.588699,312.648621,180.660858,321.3078,174.813232,332.071899,175.426743,339.909729,182.317566,330.730164,185.063812,321.03891,184.889633,382.367462,184.120956,390.673828,177.947266,401.4039,178.111343,409.435944,184.721222,400.822937,188.322098,391.224884,187.632767,336.264893,263.817291,342.538544,259.901886,349.839905,256.383453,357.814789,259.26355,365.848114,257.262054,372.323456,261.574097,377.464081,266.231415,371.547882,271.500366,364.371063,274.878845,356.393311,276.326324,348.69046,273.871796,341.806671,269.626434,350.691986,263.637329,357.378357,265.35788,363.841736,264.440277,363.340271,263.516754,357.24173,264.674042,351.080109,262.784698,1
2365,'2018/08/14 13:11:14:247',21,282.83078,179.874237,284.584412,198.745575,287.840912,217.29277,292.342407,236.369934,299.283936,256.342316,309.242432,274.581421,321.74942,290.65567,336.809631,303.805695,354.913635,310.038757,373.864471,305.75766,389.990173,293.60791,403.71759,278.160034,415.141663,260.441376,423.843079,241.098511,430.347809,222.51239,435.395172,204.39537,438.519257,185.797913,298.204407,162.330978,307.661133,154.829056,320.299164,151.96666,333.513794,153.630127,346.203064,157.976089,383.919006,159.916306,395.815643,156.394775,408.092377,155.448898,419.664886,158.233612,428.176971,165.212997,364.983887,182.956604,364.548859,198.508316,364.104675,213.944382,363.58136,229.053741,350.602905,236.438446,356.318146,239.004059,362.447571,240.391953,368.25592,239.618988,373.720886,237.657272,314.827179,179.865005,323.572205,173.715866,334.519836,174.403198,342.264923,181.728989,333.024048,184.69751,323.216888,184.455551,384.819,183.565475,393.132019,176.967911,404.007141,177.038834,411.989655,183.942047,403.384949,187.936249,393.702057,187.295486,338.575409,262.515228,345.125488,258.67157,352.551086,255.206146,360.58255,258.055237,368.355408,256.12149,374.580963,260.424133,379.450256,265.068573,373.702454,270.402557,366.643768,273.810944,358.778961,275.228302,351.009064,272.722168,344.105652,268.387482,353.224213,262.313141,359.997009,264.02713,366.146027,263.167114,365.611481,262.553619,359.725098,263.668243,353.4841,261.770844,1
